
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
AND                              AND6                               9   1      9   9   1 11         11 0                     (0-0-0)
AND                              AND6                               9   1     10  10   1 10         10 0                     (0-0-0)
AND                              AND6                               9   1     11  11   1 9           9 0                     (0-0-0)
AND                              AND6                               9   1     12  12   1 8           8 0                     (0-0-0)
AND                              AND6                               0   2      1   1   2 14         14 1 VCC                 (0-0-0)
AND                              AND6                               0   3      1   1   3 7           7 1 GND                 (0-0-0)
AND                              AND7                              12   1      1   1   1 1           1 0 OpSel6A             (22-39-13)
AND                              AND7                              12   1      2   2   1 2           2 0 OpSel6B             (22-45-13)
AND                              AND7                              12   1      3   3   1 3           3 0 6_12                (2-77-13)
AND                              AND7                              12   1      4   4   1 4           4 0 6_1                 (2-76-13)
AND                              AND7                              12   1      5   5   1 5           5 0 C6                  (2-57-13)
AND                              AND7                              12   1      6   6   1 6           6 0 6_13                (2-78-13)
AND                              AND7                              12   1      7   7   1 13         13 0                     (0-0-0)
AND                              AND7                              12   1      8   8   1 12         12 0                     (0-0-0)
AND                              AND7                              12   1      9   9   1 11         11 0                     (0-0-0)
AND                              AND7                              12   1     10  10   1 10         10 0                     (0-0-0)
AND                              AND7                              12   1     11  11   1 9           9 0                     (0-0-0)
AND                              AND7                              12   1     12  12   1 8           8 0                     (0-0-0)
AND                              AND7                               0   2      1   1   2 14         14 1 VCC                 (0-0-0)
AND                              AND7                               0   3      1   1   3 7           7 1 GND                 (0-0-0)
AND                              AND8                              11   1      1   1   1 1           1 0 OpSel7A             (22-41-13)
AND                              AND8                              11   1      2   2   1 2           2 0 OpSel7B             (2-3-13)
AND                              AND8                              11   1      3   3   1 3           3 0 7_12                (2-34-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
AND                              AND8                              11   1      4   4   1 4           4 0 7_1                 (2-29-13)
AND                              AND8                              11   1      5   5   1 5           5 0 C7                  (2-40-13)
AND                              AND8                              11   1      6   6   1 6           6 0 7_13                (2-36-13)
AND                              AND8                              11   1      7   7   1 13         13 0                     (0-0-0)
AND                              AND8                              11   1      8   8   1 12         12 0                     (0-0-0)
AND                              AND8                              11   1      9   9   1 11         11 0                     (0-0-0)
AND                              AND8                              11   1     10  10   1 10         10 0                     (0-0-0)
AND                              AND8                              11   1     11  11   1 9           9 0                     (0-0-0)
AND                              AND8                              11   1     12  12   1 8           8 0                     (0-0-0)
AND                              AND8                               0   2      1   1   2 14         14 1 VCC                 (0-0-0)
AND                              AND8                               0   3      1   1   3 7           7 1 GND                 (0-0-0)
OR                               OR1                               24   1      1   1   1 1           1 0 0_12                (2-59-13)
OR                               OR1                               24   1      2   2   1 2           2 0 0_13                (2-60-13)
OR                               OR1                               24   1      3   3   1 3           3 0 C1                  (2-52-13)
OR                               OR1                               24   1      4   4   1 4           4 0                     (0-0-0)
OR                               OR1                               24   1      5   5   1 5           5 0                     (0-0-0)
OR                               OR1                               24   1      6   6   1 6           6 0                     (0-0-0)
OR                               OR1                               24   1      7   7   1 13         13 0                     (0-0-0)
OR                               OR1                               24   1      8   8   1 12         12 0                     (0-0-0)
OR                               OR1                               24   1      9   9   1 11         11 0                     (0-0-0)
OR                               OR1                               24   1     10  10   1 10         10 0                     (0-0-0)
OR                               OR1                               24   1     11  11   1 9           9 0                     (0-0-0)
OR                               OR1                               24   1     12  12   1 8           8 0                     (0-0-0)
OR                               OR1                                0   2      1   1   2 14         14 1 VCC                 (0-0-0)
OR                               OR1                                0   3      1   1   3 7           7 1 GND                 (0-0-0)
OR                               OR2                               22   1      1   1   1 1           1 0 1_12                (2-62-13)
OR                               OR2                               22   1      2   2   1 2           2 0 1_13                (2-63-13)
OR                               OR2                               22   1      3   3   1 3           3 0 C2                  (2-53-13)
OR                               OR2                               22   1      4   4   1 4           4 0                     (0-0-0)
OR                               OR2                               22   1      5   5   1 5           5 0                     (0-0-0)
OR                               OR2                               22   1      6   6   1 6           6 0                     (0-0-0)
OR                               OR2                               22   1      7   7   1 13         13 0                     (0-0-0)
OR                               OR2                               22   1      8   8   1 12         12 0                     (0-0-0)
OR                               OR2                               22   1      9   9   1 11         11 0                     (0-0-0)
OR                               OR2                               22   1     10  10   1 10         10 0                     (0-0-0)
OR                               OR2                               22   1     11  11   1 9           9 0                     (0-0-0)
OR                               OR2                               22   1     12  12   1 8           8 0                     (0-0-0)
OR                               OR2                                0   2      1   1   2 14         14 1 VCC                 (0-0-0)
OR                               OR2                                0   3      1   1   3 7           7 1 GND                 (0-0-0)
OR                               OR3                               23   1      1   1   1 1           1 0 2_12                (2-65-13)
OR                               OR3                               23   1      2   2   1 2           2 0 2_13                (2-66-13)
